instance_id,project,target_stable_branch,change_id,master_patch_url,stable_backport_url,same_files_modified,file_overlap_ratio,files_only_in_master,files_only_in_stable,master_lines_added,master_lines_removed,stable_lines_added,stable_lines_removed,diff_size_ratio,days_to_backport,only_iac,has_explicit_tests,master_patchsets,master_human_messages,master_human_reviewers,master_review_duration_days,master_review_hours,master_ci_failures,master_human_negative_votes,master_api_status,bp_patchsets,bp_human_messages,bp_human_reviewers,bp_review_duration_days,bp_review_hours,bp_ci_failures,bp_human_negative_votes,bp_api_status,backport_type
openstack-openstack-ansible-os_neutron-stable-zed-I122a7e2,openstack/openstack-ansible-os_neutron,stable/zed,I122a7e2df0d546c18e4ec607abeb36cb0cec196f,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/886266,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/893451,True,1.0,,,1,1,1,1,1.0,41,True,False,2,3,2,76.78,1842.64,3,0,ok,2,2,2,41.38,993.14,6,0,ok,Clean
openstack-openstack-ansible-os_neutron-stable-2023.1-I122a7e2,openstack/openstack-ansible-os_neutron,stable/2023.1,I122a7e2df0d546c18e4ec607abeb36cb0cec196f,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/886266,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/893450,True,1.0,,,1,1,1,1,1.0,2,True,False,2,3,2,76.78,1842.64,3,0,ok,1,1,1,2.83,67.84,0,0,ok,Clean
openstack-puppet-neutron-stable-xena-I3a78458,openstack/puppet-neutron,stable/xena,I3a784588435619418cfd51a1ceffd9fd0ecd5e63,https://review.opendev.org/c/openstack/puppet-neutron/+/871077,https://review.opendev.org/c/openstack/puppet-neutron/+/872812,True,1.0,,,52,15,52,15,1.0,17,False,False,1,5,3,5.29,126.88,4,0,ok,1,2,2,3.69,88.49,1,0,ok,Clean
openstack-puppet-neutron-stable-yoga-I3a78458,openstack/puppet-neutron,stable/yoga,I3a784588435619418cfd51a1ceffd9fd0ecd5e63,https://review.opendev.org/c/openstack/puppet-neutron/+/871077,https://review.opendev.org/c/openstack/puppet-neutron/+/872290,True,1.0,,,52,15,52,15,1.0,13,False,False,1,5,3,5.29,126.88,4,0,ok,1,2,2,6.26,150.34,1,0,ok,Clean
openstack-puppet-neutron-stable-zed-I3a78458,openstack/puppet-neutron,stable/zed,I3a784588435619418cfd51a1ceffd9fd0ecd5e63,https://review.opendev.org/c/openstack/puppet-neutron/+/871077,https://review.opendev.org/c/openstack/puppet-neutron/+/871558,True,1.0,,,52,15,52,15,1.0,6,False,False,1,5,3,5.29,126.88,4,0,ok,1,4,2,6.43,154.2,3,0,ok,Clean
openstack-ansible-role-pki-stable-2023.1-Id999ccf,openstack/ansible-role-pki,stable/2023.1,Id999ccf5f42ee7f6b6b08db67276bb77bc9a21d8,https://review.opendev.org/c/openstack/ansible-role-pki/+/890793,https://review.opendev.org/c/openstack/ansible-role-pki/+/893247,True,1.0,,,30,20,30,20,1.0,0,False,False,3,7,1,22.22,533.26,1,0,ok,1,1,1,0.58,14.01,0,0,ok,Clean
openstack-kolla-ansible-stable-zed-Iae8a937,openstack/kolla-ansible,stable/zed,Iae8a937bb2c35d2eb83e2c4522d829a6cfe25f0d,https://review.opendev.org/c/openstack/kolla-ansible/+/892613,https://review.opendev.org/c/openstack/kolla-ansible/+/893207,True,1.0,,,6,1,6,1,1.0,11,False,False,1,5,4,0.91,21.96,1,0,ok,1,6,7,11.66,279.78,1,0,ok,Clean
openstack-kolla-ansible-stable-2023.1-Iae8a937,openstack/kolla-ansible,stable/2023.1,Iae8a937bb2c35d2eb83e2c4522d829a6cfe25f0d,https://review.opendev.org/c/openstack/kolla-ansible/+/892613,https://review.opendev.org/c/openstack/kolla-ansible/+/893206,True,1.0,,,6,1,6,1,1.0,11,False,False,1,5,4,0.91,21.96,1,0,ok,1,3,6,11.65,279.72,1,0,ok,Clean
openstack-puppet-cloudkitty-stable-zed-I764a985,openstack/puppet-cloudkitty,stable/zed,I764a98553b766e64fad71d418f4158a47e413282,https://review.opendev.org/c/openstack/puppet-cloudkitty/+/892733,https://review.opendev.org/c/openstack/puppet-cloudkitty/+/895908,True,1.0,,,4,0,4,0,1.0,28,False,False,1,3,2,4.83,115.85,1,0,ok,1,5,2,7.05,169.21,3,0,ok,Clean
openstack-puppet-cloudkitty-stable-2023.1-I764a985,openstack/puppet-cloudkitty,stable/2023.1,I764a98553b766e64fad71d418f4158a47e413282,https://review.opendev.org/c/openstack/puppet-cloudkitty/+/892733,https://review.opendev.org/c/openstack/puppet-cloudkitty/+/893122,True,1.0,,,4,0,4,0,1.0,20,False,False,1,3,2,4.83,115.85,1,0,ok,1,2,2,20.51,492.23,0,0,ok,Clean
openstack-openstack-ansible-openstack_hosts-stable-2023.1-I70a8c92,openstack/openstack-ansible-openstack_hosts,stable/2023.1,I70a8c9266cb12811a58f5a183955dbec319e539f,https://review.opendev.org/c/openstack/openstack-ansible-openstack_hosts/+/892151,https://review.opendev.org/c/openstack/openstack-ansible-openstack_hosts/+/898769,True,1.0,,,31,1,35,1,1.125,51,False,False,2,4,2,8.13,195.12,0,1,ok,2,1,1,1.1,26.48,0,0,ok,Modified
openstack-kolla-ansible-stable-zed-I6ad95a3,openstack/kolla-ansible,stable/zed,I6ad95a3618fc1a34af56657ef99ef14dc979f17a,https://review.opendev.org/c/openstack/kolla-ansible/+/890391,https://review.opendev.org/c/openstack/kolla-ansible/+/901070,True,1.0,,,60,11,60,11,1.0,87,False,False,6,14,3,22.51,540.36,12,0,ok,1,5,4,4.68,112.39,2,0,ok,Clean
